message,user,date
"@HasanAbi In Germany my brother was called to pray for peace as an imam in Düsseldorf from the government (one of biggest cities in Germany) the highest priest from Düsseldorf and one of the highest rabbi from germany (he didnt even speak german) were also present. They all ""prayed"" only for the Israelis, only my brother prayed for all the victims. Some news reports badly said that he prayed for the ""victims"" in Palestine. In Germany they often say anti-Israel instead of pro-Palest",yasin4040,"2023-12-07 12:24:34,264"
"@hashishesh Want to be on CHADVICE where Hasan + special guests give you advice about life, relationships, etc. over Discord? Submit here: http://forms.gle/mFRkquukTiUkFupg7",fossabot,"2023-12-07 12:24:34,292"
"@Yasin4040, Your message is too long. Keep it under 450 characters. [warning]",fossabot,"2023-12-07 12:24:34,429"
One step from WW3 ? @HasanAbi,yass___joestar,"2023-12-07 12:24:36,182"
I think turkey tom is their imaginary friend. just go along with it,soggyburrito,"2023-12-07 12:24:36,292"
that dude is a loser lol,brotonik,"2023-12-07 12:24:36,619"
the hell is a turkey tom,tiberiumausten,"2023-12-07 12:24:36,648"
"""Hasans politics are just america bad"" mfs when their politics are only ""Hasan bad""",yuutuu,"2023-12-07 12:24:37,184"
"the mfs name is turkey tom, im good",liberacc1,"2023-12-07 12:24:38,050"
So we should respond to every weirdo that posts nonsense? Fuck that,simuser,"2023-12-07 12:24:38,168"
@Hasanabi when the Palestinians inevitably achieve liberation your work will have been a valuable contribution to making it happen,jazzkane,"2023-12-07 12:24:38,196"
"@hasanabi but that one time you said something that the drama farmers didn't like
""
",isjoltz,"2023-12-07 12:24:38,667"
nice,chupawunga,"2023-12-07 12:24:39,149"
OMEGALUL I BRUV,estragal,"2023-12-07 12:24:39,306"
EWWW he collects what,wihby,"2023-12-07 12:24:39,394"
better when you ignore them I know its annoying,h3llworld,"2023-12-07 12:24:39,691"
hasSlam hasSlam,hazmat008xxl,"2023-12-07 12:24:40,163"
Lol bro its an australian dude farming clout and drama lol,virtualmeal,"2023-12-07 12:24:40,225"
fuck off drama baiters :),jerbil_b,"2023-12-07 12:24:41,535"
a tom is a male turkey: fact.,fizgizan,"2023-12-07 12:24:41,564"
Other than they disagree with u,billysdojo,"2023-12-07 12:24:41,682"
losers then,kittymazov,"2023-12-07 12:24:41,713"
You pay their bills AintNoWay,xvirg0,"2023-12-07 12:24:42,456"
lol what,royalhi5,"2023-12-07 12:24:42,805"
Classic,gavaleus,"2023-12-07 12:24:42,903"
Was talking about them,xiamercer,"2023-12-07 12:24:43,378"
"@hasanabi my cousin is a national security advisor for Biden and Harris. he worked for Hillary under Obama. if I can talk to him, what should I say? https://en.wikipedia.org/wiki/Philip_Gordon",sam_perman,"2023-12-07 12:24:43,539"
"HES DESTINYS FRIEND, DEEP CHUD TERRITORY",porpoise_hork,"2023-12-07 12:24:43,628"
Your spot on about turkey tom,spritelass67,"2023-12-07 12:24:43,665"
@HasanAbi  https://www.reuters.com/business/retail-consumer/us-retail-lobbyists-retract-key-claim-organized-retail-crime-2023-12-06/,nexxusdk,"2023-12-07 12:24:44,969"
Pivo chatters stfu,eyesometric,"2023-12-07 12:24:45,052"
doodlL birb <3,tiamani,"2023-12-07 12:24:45,097"
KEKW catboy,veggietableh,"2023-12-07 12:24:48,399"
Pivo,chupawunga,"2023-12-07 12:24:48,483"
"azan idk if u talked bout this or if it were brought to ur attention, but did u see Tate on piss morgan talking bout Palestine? @hasanabi",joethecatgirll,"2023-12-07 12:24:48,513"
derailed,niixv,"2023-12-07 12:24:49,420"
I salute brave journalist,lizanyasrosetoy,"2023-12-07 12:24:49,727"
